32.5, 16.5
0,2,3,1

ver
0 4 1 1
28 10

8,16,39,40,45,46, *
14,17,29,35,39,59,*
17,20,25,28,46,58,*
14,20,25,36,41,58,
14,16,22,46,47,48,
15,16,30,35,39,58,
9,16,34,40,46,48, p
14,16,32,35,39,58,p
11,19,28,39,40,56,p
6,21,35,37,46,49,
16,20,21,35,43,58,
6,27,30,35,40,55,
16,19,20,38,45,55,
11,22,29,34,40,58,
18,20,25,27,46,58,
18,19,25,27,48,57,
14,20,26,32,44,58,
15,18,25,35,44,57,
15,20,25,30,44,59,
13,20,26,35,43,57,
14,20,26,34,41,59,
11,20,27,39,40,56,
14,22,27,28,46,57,
14,16,29,35,45,55,
14,20,22,36,44,57,
14,15,28,40,41,55,
14,19,22,38,48,52,
15,20,26,30,44,59,
11,13,37,39,45,48,
16,18,22,35,45,57,
1,32,35,39,41,46,
6,20,34,39,46,49,
6,25,28,40,47,48,
6,21,35,36,45,50,
14,20,22,37,45,56,
6,26,29,35,48,50,
15,19,21,38,45,56,
13,19,28,35,39,59,
1,30,36,39,40,48,
3,27,32,39,45,48,
6,21,31,40,46,49,
6,21,32,40,45,50,
14,18,28,35,39,59,
15,19,26,32,44,58,
14,15,30,39,40,56,
16,20,26,27,46,58,
15,19,26,30,48,56,
11,21,27,36,40,58,
16,17,26,35,40,59,
6,22,31,41,46,48,
