31.5, 21
{0,3,2,1}

2,16,46,48,22,54,*
57,30,49,6,9,37,
9,19,13,58,37,52,
1,35,55,34,50,13,
58,19,49,22,2,37,
18,26,15,13,56,59,
32,22,54,8,14,58,
52,2,57,34,20,22,
59,34,39,12,3,41,
39,58,29,2,13,46,
1,49,43,26,15,54,
21,2,20,57,38,49,
1,25,49,57,18,38,
7,48,58,8,27,39,
11,54,7,21,49,45,
15,47,49,9,14,54,
18,16,55,58,11,29,
37,3,11,55,50,31,
48,43,56,3,22,16,*
50,44,26,52,1,15,
9,3,50,45,32,49,
34,35,8,55,50,6,
48,12,55,34,1,38,
52,50,8,6,45,26,
18,26,3,57,30,54,
52,28,7,9,57,35,
29,6,57,49,9,37,
37,59,16,3,25,47,
31,15,54,3,30,55,
32,39,54,11,3,49,
43,3,9,34,45,54,
39,47,14,1,56,30,
39,57,35,2,12,43,
3,52,40,17,54,22,
50,3,43,54,22,15,
43,46,25,16,56,1,
38,55,29,50,1,15,
6,26,8,49,46,52,
9,1,41,44,52,40,*
46,27,55,8,7,45,
56,39,1,28,15,49,
29,6,26,59,16,52,
57,27,6,25,56,17,
12,59,55,15,31,16,
49,58,41,21,6,13,
57,28,19,7,56,21,
29,6,55,15,56,27,
15,22,3,44,47,56,
44,13,50,55,19,6,
35,1,52,25,56,18,
