25 17 // 23 18 real

3,14,19,26,38,49,
50,21,3,28,35,11,
44,46,21,11,20,7,
34,48,9,8,14,35,
48,9,15,13,20,44,
14,15,55,19,12,34,
34,19,16,14,11,55,
13,46,26,15,43,6,
16,15,45,3,26,43,
20,44,25,3,12,45,
27,35,11,15,9,52,
3,36,35,25,6,43,
41,38,1,39,15,14,
45,14,21,47,7,15,
14,6,39,48,12,30,
6,16,45,22,13,46,
45,6,36,38,9,14,
7,11,46,15,26,43,
35,31,12,48,1,22,
45,3,14,18,43,26,
8,6,20,28,48,39,
34,3,19,44,40,9,
15,19,26,43,44,1,
25,6,50,38,15,14,
43,14,7,15,48,22,
15,26,12,44,6,46,
16,21,28,11,15,57,
18,27,6,40,48,9,
11,28,39,16,48,6,
7,3,46,26,35,32,
27,56,11,15,14,26,
38,43,35,21,1,11,
35,45,14,7,8,39,
19,2,18,48,22,40,
19,45,1,39,12,32,
25,30,35,47,11,1,
45,43,20,14,25,2,
19,7,11,21,50,40,
21,15,57,14,13,28,
3,18,25,45,14,43,
40,6,7,22,28,46,
46,12,1,40,28,22,
11,7,46,21,45,18,
26,48,28,8,3,35,
38,20,14,26,48,2,
9,48,11,43,19,18,
15,22,8,13,46,45,
22,14,44,15,6,47,
12,11,6,34,46,39,
48,41,15,6,26,13,


NO MEDIA
46,32,21,49,40,48,
7,14,11,44,55,19,
19,14,47,26,45,8,
19,39,20,28,38,11,
21,50,59,13,20,19,
39,18,49,19,11,3,
47,22,52,59,40,48,
28,57,6,55,50,19,
26,15,40,46,32,13,
27,14,11,39,30,48,
6,55,43,59,28,3,
2,43,19,55,6,1,
52,48,22,14,12,45,
48,13,44,46,20,21,
59,48,41,19,28,21,
3,31,9,6,8,14,
19,6,36,27,1,21,
45,43,39,15,38,59,
46,55,1,37,3,43,
48,32,26,45,44,20,
52,1,19,9,40,30,
11,39,35,45,12,7,
36,11,15,26,46,38,
26,32,3,48,40,27,
14,2,44,9,48,11,
19,14,39,32,38,6,
14,59,32,52,20,39,
26,2,35,14,49,45,
32,25,6,11,20,43,
28,46,55,11,41,35,
32,19,26,3,59,2,
55,59,15,19,50,13,
40,2,58,59,21,14,
40,13,11,46,25,37,
45,14,7,16,3,55,
22,6,3,2,57,27,
3,2,22,11,14,41,
19,3,50,55,57,32,
1,35,58,49,40,26,
6,32,11,39,20,27,
45,6,8,27,11,26,
21,40,11,34,52,15,
36,59,40,58,55,15,
3,38,6,28,26,14,
47,25,11,20,6,34,
34,59,36,46,9,19,
47,46,13,21,45,6,
27,14,35,55,3,16,
19,47,9,6,15,56,
25,3,45,37,59,12

no media 1 3 1 1

24,36,48,56,55,52,
58,29,16,26,45,41,
35,9,54,13,36,8,
12,9,37,32,57,29,
46,58,18,26,41,29,
17,12,21,49,40,44,
50,23,43,44,39,20,
52,44,50,23,21,40,
37,8,23,27,21,6,
40,12,21,43,29,13,
26,29,59,49,32,47,
47,44,21,34,59,17,
44,32,8,42,3,22,
27,49,3,28,55,42,
36,15,44,33,25,8,
26,29,44,52,3,13,
8,34,37,39,15,24,
18,56,50,40,53,39,
25,11,7,41,4,12,
19,31,41,54,9,56,
20,22,13,52,50,51,
22,37,13,45,24,8,
1,31,34,7,17,9,
10,25,7,12,30,45,
18,25,12,10,7,20,
22,17,11,47,52,38,
41,53,59,25,37,16,
35,43,33,39,28,30,
37,48,24,22,12,8,
53,3,7,37,38,22,
52,55,36,44,1,4,
12,19,29,31,37,25,
9,7,15,23,30,38,
22,58,5,36,32,35,
32,22,57,49,12,24,
56,21,19,18,53,30,
35,17,58,52,26,18,
48,17,41,26,50,2,
38,50,28,14,17,22,
52,9,27,4,16,57,
12,48,9,7,5,31,
54,9,47,49,56,40,
22,11,47,41,34,54,
39,58,24,19,41,7,
34,21,7,10,40,27,
28,38,24,59,37,25,
30,43,52,17,26,6,
47,4,37,55,1,56,
8,16,32,23,59,26,
5,46,7,44,22,16,
